id,domain,mechanism,definition,formula,integration,validation
M215,Pattern geometry,Reuleaux constant-width profile,Three circular arcs producing a convex constant-width curve.,Boundary assembled from radius-w arcs centered at equilateral-triangle vertices.,Constant-clearance support profile and rotation benchmark.,Implemented sampler + tested
M216,Pattern geometry,Voronoi / power-cell selector,Nearest-site partition generalized by additive site weights.,argmin_i ||x-s_i||^2-w_i,Compatibility/routing partition compiled to local candidate tests.,Implemented + tested
M217,Pattern geometry,Medial-axis skeletal approximation,Centerline candidates derived from equal-distance pairs or sampled boundary normals.,"d(x,A)=d(x,B) with local maximality condition",Compressed shape skeleton; approximation status and sampling density are logged.,Implemented sampled helper + tested
M218,Field/surface geometry,Superquadric implicit field,Exponent-controlled 3D generalization of ellipsoids and box-like rounded solids.,((|x/a|^(2/e2)+|y/b|^(2/e2))^(e2/e1)+|z/c|^(2/e1))-1,Implicit event/support field; not automatically an exact Euclidean SDF.,Implemented + tested
M219,Field/surface geometry,Anisotropic ellipsoid field,Quadratic form with positive scales or covariance-like metric.,"f(x)=x^T A x-1, A positive definite",Directional guard/support with explicit metric and conditioning checks.,Implemented + tested
M220,Field/surface geometry,Swept tube field,Distance-to-centerline field minus radius using a sampled or analytic curve.,f(x)=min_s ||x-c(s)||-r(s),"Cable, vessel, wormhole-route visualization or collision support; sampled error is declared.",Implemented sampled + tested
M221,Field/surface geometry,Generalized cylinder / profile sweep,Cross-section transported along a centerline with an explicit moving frame.,"X(s,u,v)=c(s)+u e1(s)+v e2(s)",Pattern extrusion using Frenet or Bishop frame; frame choice is schema-bound.,Implemented helper + example
M222,Field/surface geometry,Ruled surface,Surface formed by linearly connecting corresponding points on two curves.,"X(u,v)=(1-v)c0(u)+v c1(u)","Portal sheet, transition membrane or developable approximation.",Implemented + tested
M223,Field/surface geometry,Helicoid,Ruled minimal-surface family generated by screw motion.,"X(u,v)=(v cos u,v sin u,p u)",Screw-symmetry route/sheet example; physical minimality is not assumed in discrete realization.,Implemented + tested
M224,Field/surface geometry,Catenoid,Surface of revolution of a catenary.,"X(u,v)=(a cosh(v/a)cos u,a cosh(v/a)sin u,v)",Neck/pinch geometry with finite guard and no singular-energy claim.,Implemented + tested
M225,Field/surface geometry,Gyroid periodic field,Triply periodic implicit pattern used as a bounded field template.,sin x cos y + sin y cos z + sin z cos x = c,Periodic support/route field; topology depends on threshold and finite domain.,Implemented + tested
M226,Field/surface geometry,Schwarz-P periodic field,Triply periodic cosine field serving as a connected-sheet template.,cos x+cos y+cos z=c,Field grammar primitive with threshold and cell count explicitly bounded.,Implemented + tested
M227,Field/surface geometry,Metaball / R-function blend,Smooth influence-field combination with explicit compact or inverse-distance kernel.,f(x)=sum_i w_i phi(||x-c_i||)-tau,Merge/split event benchmark; kernel support and saturation are declared.,Implemented compact kernel + tested
M228,Field/surface geometry,Morphological offset / dilation,Parallel-set transform expressed as a field offset when the input is distance-like.,f_delta(x)=f(x)-delta,"Guard expansion, tolerance shell and manufacturing clearance; exact only for valid distance fields.",Implemented + tested
M229,Field/surface geometry,Wavefront / eikonal arrival field,Arrival-time field under a declared local propagation speed.,|grad T|=1/c(x); constant-c case T=distance/c,Event-time support primitive; variable-speed solver is specified separately.,Implemented constant-speed + tested
M230,Topology,Winding number / degree tag,Integer-valued enclosure/orientation descriptor for closed planar routes.,w=(1/2pi) integral d arg(gamma(t)-x),Inside/outside and route class metadata without collapsing geometry to a bit.,Implemented polygonal + tested
M231,Topology,Covering-space lift,Unwrapped coordinate retains traversal count across periodic quotient boundaries.,theta_lift=theta+2pi k,Prevents ambiguity at repeated coordinates and supports lineage reconstruction.,Implemented + tested
M232,Topology,Homotopy-class route label,Route label stores obstacle winding/signature rather than only endpoint coordinates.,"h=(w1,...,wn) for declared obstacle generators",Compatibility and branch selection may require matching or allowed classes.,Implemented descriptor + tested
M233,Topology,Braid-word transition,Ordered crossings represented by generators sigma_i and inverses with local cancellation.,... sigma_i sigma_i^-1 ... -> identity,Multi-entity route lineage; word length is bounded and reduction policy explicit.,Implemented reducer + tested
M234,Topology,Knot/link checksum,Optional low-cost invariant or numerical linking estimate for closed route pairs.,Gauss linking integral or declared discrete approximation,Diagnostic checksum only; not complete knot identity and not used as sole authority.,Specified; numerical certification pending
M235,Topology,Cell-complex incidence,"Vertices, edges, faces and cells connected through oriented incidence maps.",boundary_k: C_k -> C_(k-1),Topology storage independent of embedding; supports local gluing and route updates.,Implemented boundary matrices + tested
M236,Topology,Boundary/coboundary update,Topology transition updates primal incidence and dual cochain state consistently.,boundary_(k-1) boundary_k = 0,Validation rejects edits violating boundary-of-boundary zero.,Implemented invariant check + tested
M237,Topology,Discrete Morse critical event,Cell pairing identifies local critical cells where topology/routing may change.,Unpaired cells are critical under a declared matching.,Event candidate for simplification or handle birth/death; matching is explicit.,Implemented descriptor + example
M238,Topology,Persistent-homology summary,Birth/death intervals summarize bounded filtration changes.,"barcode={(birth_i,death_i,dimension_i)}",Diagnostic feature vector; does not replace full geometry or lineage.,Specified exchange format; solver not bundled
M239,Topology,Atlas transition cocycle,Overlapping chart maps are checked for consistent composition.,g_ij g_jk = g_ik on triple overlaps,Prevents incompatible portal/gluing definitions in multi-chart worlds.,Implemented matrix check + tested
M240,Kinematic calculus,SE(2) rigid transform and twist,Planar position/orientation update represented by the exponential of a body twist.,"T(t)=exp(t [v_x,v_y,omega]^)",Exact constant-twist state_at(t) and portal patch primitive.,Implemented + tested
M241,Kinematic calculus,SE(3) twist exponential,Spatial rigid motion generated by angular and linear velocity.,"T=exp([omega,v]^ t) with Rodrigues rotation and V matrix","Constant screw motion, frame transport and analytic state query.",Implemented + tested
M242,Kinematic calculus,Quaternion SLERP,Shortest-arc interpolation of unit orientations with antipodal handling.,q(t)=sin((1-t)theta)/sin theta q0 + sin(t theta)/sin theta q1,Orientation interpolation separate from position and topology.,Implemented + tested
M243,Kinematic calculus,Screw interpolation (SE(3) geodesic),Interpolate through the relative rigid transform log/exponential rather than independent Euler angles.,T(t)=T0 exp(t log(T0^-1 T1)),Portal/coupler motion with consistent rotation-translation coupling.,Implemented + tested
M244,Kinematic calculus,Frenet-Serret moving frame,"Tangent, normal and binormal derived from nondegenerate curve derivatives.",T=r'/|r'|; B=(r' x r'')/|r' x r''|; N=B x T,Curvature/torsion diagnostics and sweep orientation where curvature is nonzero.,Implemented + tested
M245,Kinematic calculus,Bishop parallel-transport frame,Rotation-minimizing frame transported along a sampled curve.,"Project previous normal into new tangent plane, then renormalize.",Stable sweep frame through near-zero-curvature segments.,Implemented + tested
M246,Kinematic calculus,Arc-length reparameterization,Monotone lookup maps path parameter to cumulative distance and back.,s(t)=integral_0^t |r'(u)|du,Uniform-speed queries and event bracketing with declared interpolation error.,Implemented sampled + tested
M247,Kinematic calculus,Curvature-limited steering,Speed and angular rate constrained by path curvature and lateral acceleration.,"omega=v kappa; v<=sqrt(a_lat_max/max(|kappa|,eps))",Feasible trajectory gate before event solving.,Implemented + tested
M248,Kinematic calculus,Jerk-bounded quintic S-curve,"Endpoint-rest time law with continuous position, velocity and acceleration.","s(u)=10u^3-15u^4+6u^5, u in [0,1]",Smooth phase/route actuation; peak derivatives determine duration contract.,Implemented + tested
M249,Kinematic calculus,Limit-aware time scaling,"Choose trajectory duration so normalized velocity, acceleration and jerk stay within declared limits.","T=max(D*v_peak/vmax, sqrt(D*a_peak/amax), cbrt(D*j_peak/jmax))",Bounded schedule; not claimed globally time-optimal for arbitrary paths.,Implemented + tested
M250,Kinematic calculus,Articulated-chain forward kinematics,Compose joint transforms to obtain link and endpoint frames.,T_end=product_i T_i(q_i),Finite grammar may emit link chains; state query returns all frames and lineage.,Implemented planar chain + tested
M251,Kinematic calculus,Jacobian damped least-squares IK,Regularized local inverse step avoids singular matrix blow-up.,Delta q=J^T(JJ^T+lambda^2 I)^-1 e,"Optional solver with residual, iteration budget and failure status.",Implemented planar chain + tested
M252,Dynamics and events,Symplectic / semi-implicit integration,Velocity is updated before position for improved qualitative energy behavior in separable mechanics.,v_(n+1)=v_n+a(x_n)dt; x_(n+1)=x_n+v_(n+1)dt,Fallback dynamic state update; timestep and error budget remain explicit.,Implemented + tested
M253,Dynamics and events,Damped second-order mode,"Mass-spring-damper evolution with typed mass, stiffness and damping.",m x''+c x'+k x=f(t),"Actuator, hinge or threshold reset dynamics; energy bookkeeping is measurable.",Implemented + tested
M254,Dynamics and events,Graph-Laplacian diffusion / coupled modes,Local state exchange over an explicit adjacency graph.,x'=-alpha L x or x''+C x'+Kx=0,"Phase smoothing, consensus or coupled oscillation without hidden global field.",Implemented first-order diffusion + tested
M255,Dynamics and events,Reaction-diffusion pattern dynamics,Two-field local reaction plus diffusion update on a bounded grid or graph.,Gray-Scott: U_t=D_u Lap U-UV^2+F(1-U); V_t=D_v Lap V+UV^2-(F+k)V,Dynamic pattern generator kept downstream of typed field/state schema.,Implemented grid step + tested
M256,Dynamics and events,Hybrid automaton continuous/discrete dynamics,Each mode has a continuous flow; guard crossings invoke discrete reset and route changes.,"x'=f_m(x); if g_(m,n)(x)=0 then x^+=R_(m,n)(x)","Generalizes threshold cup, parity hinge and event transition into a typed model.",Implemented reference class + tested
M257,Dynamics and events,Event degeneracy and simultaneity resolver,"Classify crossing, tangency and coincidence; resolve equal-time patches by priority or verified commutativity.","Use sign history, derivative, residual interval and patch-conflict graph.","Prevents chatter, unordered lineage and silent overwrite at multi-guard events.",Implemented classifier/resolver + tested
M258,Scene and assets,Stable asset identity,"Asset identity is a stable schema identifier separate from node identity, coordinates and lineage.","asset=(asset_id, content_hash, schema_hash, payload)",Allows one immutable asset to be instanced by many scene nodes.,Implemented + tested
M259,Scene and assets,Content-addressed asset hash,Canonical mesh/material/source metadata are hashed so derived geometry can be cached and compared.,h_asset=SHA256(canonical(asset_payload)),Cache key and integrity check; not a legal or cryptographic identity claim.,Implemented + tested
M260,Scene and assets,Scene-node transform hierarchy,Nodes form an explicit parent-child transform graph with local and world transforms.,T_world(n)=T_world(parent(n))*T_local(n),Supports conventional scene composition while UGTS events remain authoritative for changes.,Implemented + tested
M261,Scene and assets,Hierarchy cycle rejection,Parent edits are accepted only when the scene graph remains acyclic.,parent walk must not revisit a node,Prevents undefined world transforms and recursive editor corruption.,Implemented + tested
M262,Scene and assets,Asset-instance separation,"Mesh/material assets are immutable payloads; nodes carry transform, visibility, tags and lineage.","instance=(node_id, asset_id, local_transform, tags, lineage)",Allows reuse and streaming without treating render meshes as identity.,Implemented + tested
M263,Scene and assets,Layered scene opinions,Ordered layers may override declared node fields without destructively rewriting the base scene.,"composed(n)=fold_layers(base(n), opinions(n))",Reference form of non-destructive authoring and variant overrides.,Implemented + tested
M264,Scene and assets,Coordinate-system declaration,"Every scene declares up axis, handedness and working coordinate convention.","coordinate_contract=(up_axis, handedness, units_per_meter)","Prevents silent axis flips across engine, glTF, USD and XR adapters.",Implemented + tested
M265,Scene and assets,Unit and time-base declaration,"Linear scale, time unit and working color space are schema fields.","metadata=(units_per_meter,time_unit,working_color_space)",Separates authored values from implicit engine defaults.,Implemented + tested
M266,Scene and assets,Streaming-region membership,World bounds map deterministically to one or more spatial cells.,cell(p)=floor(p/cell_size),Supplies world partition and asynchronous loading keys.,Implemented + tested
M267,Scene and assets,Schema migration record,Version changes append an explicit from/to migration entry and description.,"migration=(from_version,to_version,operation)",Makes save-game and asset upgrades inspectable and replay-safe.,Implemented + tested
M268,Geometry compilation,Adaptive cubic-curve tessellation,Cubic Bezier segments subdivide until a declared flatness tolerance or depth limit is reached.,"flatness=max(dist(P1,line P0P3),dist(P2,line P0P3)) <= epsilon",Produces render/collision polylines from authoritative curves.,Implemented + tested
M269,Geometry compilation,Dual simulation and presentation error contract,"Derived geometry records independent world, collision, screen-space and normal error budgets.","error=(e_world,e_collision,e_pixels,e_normal,topology_status)",Prevents visually acceptable meshes from silently redefining event geometry.,Implemented + tested
M270,Geometry compilation,Even-odd and nonzero fill rules,Closed 2D paths use an explicitly selected winding rule for interior classification.,inside_evenodd = crossing_count mod 2; inside_nonzero = winding != 0,"Supports vector fills, guards and hit regions without ambiguous self-intersections.",Implemented + tested
M271,Geometry compilation,Stroke expansion,An open polyline is compiled to a ribbon mesh with explicit width and join policy.,v_i^+/- = p_i +/- (width/2)*n_i,Reference path-to-triangle conversion for editor and runtime previews.,Implemented + tested
M272,Geometry compilation,Swept tube mesh,A profile ring is swept along a sampled 3D path to form a triangle mesh.,v_ij=p_i+r(cos(theta_j)N_i+sin(theta_j)B_i),Makes 2.0 curve families renderable and exportable.,Implemented + tested
M273,Geometry compilation,Parallel-transport sweep frames,Rotation-minimizing tangent/normal/binormal frames orient profiles across low-curvature sections.,"N_i=normalize(N_(i-1)-T_i dot(N_(i-1),T_i)); B_i=T_i x N_i",Avoids Frenet flips at near-zero curvature.,Implemented + tested
M274,Geometry compilation,Implicit-field grid sampling,A bounded 3D lattice samples a declared scalar field and iso value.,"s_ijk=f(x_i,y_j,z_k)-iso",Input stage for deterministic field-to-mesh compilation.,Implemented + tested
M275,Geometry compilation,Marching-tetrahedra meshing,Each voxel cube is decomposed into tetrahedra and crossing edges are triangulated.,"p_cross=lerp(p_a,p_b,(iso-f_a)/(f_b-f_a))",Reference isosurface compiler with bounded resolution and no hidden raymarch loop.,Implemented + tested
M276,Geometry compilation,Field-gradient normal generation,Analytic gradients are preferred; finite differences supply a bounded fallback.,n=normalize(grad f); grad_x approx (f(x+h)-f(x-h))/(2h),Supplies lighting orientation and diagnostic residuals.,Implemented + tested
M277,Geometry compilation,Sweep UV generation,Tube vertices receive angular and cumulative-length coordinates.,u=j/sides; v=arc_length_i/total_length,Provides stable procedural material coordinates.,Implemented + tested
M278,Geometry compilation,Collision proxy generation,A derived axis-aligned proxy mesh is emitted from authoritative bounds.,proxy=AABB(mesh),Allows inexpensive broad-phase and fallback collision.,Implemented + tested
M279,Geometry compilation,Reference mesh LOD hierarchy,Triangle subsets form deterministic lower-detail previews with explicit topology-preservation status.,N_lod=round(ratio*N_triangles),Reference only; production simplification must preserve application error contracts.,Implemented + tested (reference)
M280,Spatial and streaming,Axis-aligned bounding box contract,Each renderable or support volume may expose finite minimum/maximum bounds.,"AABB=[xmin,xmax]x[ymin,ymax]x[zmin,zmax]","Common currency for culling, broad phase and streaming.",Implemented + tested
M281,Spatial and streaming,Oriented-bound proxy contract,An optional local frame and half-extents describe tighter oriented bounds.,"OBB=(center,axes,half_extents)",Specified for production adapters; reference runtime falls back to AABB.,Specified; not implemented
M282,Spatial and streaming,Deterministic BVH construction,A median split along the longest axis builds an inspectable hierarchy.,axis=argmax(extent); split=median(center_axis),Conventional acceleration complements UGTS support predicates.,Implemented + tested
M283,Spatial and streaming,Support-aware broad phase,BVH overlap results pass through local-support predicates before exact relation work.,candidates=BVH(query) intersect support_ok,Preserves the canonical support -> compatibility -> guard order.,Implemented + tested
M284,Spatial and streaming,Frustum visibility query,AABB positive vertices are tested against declared view planes.,"visible iff dot(n,p_positive)+d >= 0 for all planes",Downstream view selection only; visibility does not change identity.,Implemented + tested
M285,Spatial and streaming,Ray and picking query,Slab intervals return ordered AABB ray candidates.,t_axis=(bound-origin)/direction; intersect intervals,Editor picking and coarse interaction support.,Implemented + tested
M286,Spatial and streaming,World streaming cells,Object bounds enumerate every intersected regular-grid cell.,"cells(AABB)=Cartesian range(floor(min/s),floor(max/s))",Reference partition key for load/unload policies.,Implemented + tested
M287,Spatial and streaming,Per-user interest set,Spatial overlap and required tags define a player/client interest set.,interest={e: bounds(e) intersects query and tags_required subset tags(e)},Supports replication and streaming scope.,Implemented + tested
M288,Spatial and streaming,Culling reason codes,"Every rejected item reports frustum, support or compatibility cause.","reason in {outside_frustum,outside_support,incompatible,visible}",Makes editor and performance diagnostics actionable.,Implemented + tested
M289,GPU and rendering,Pattern-opcode dispatch,Versioned numeric opcodes select pattern/field evaluators in coherent shader batches.,evaluator=dispatch[opcode],GPU target keeps the 2.0 parameterized operator model.,Shader contract supplied
M290,GPU and rendering,Parameter-buffer reference,Instances store aligned offsets into a validated parameter buffer rather than inflating every hot record.,params=buffer[param_offset:param_offset+param_count],Supports compact instancing and schema hashing.,Shader contract supplied
M291,GPU and rendering,Derivative availability flags,"Bit flags declare analytic position, tangent, curvature, gradient or Hessian support.",flags & DERIVATIVE_*,Missing derivatives select a declared numerical path.,Shader contract supplied
M292,GPU and rendering,Render-graph resource contract,"Passes declare read/write resources, queue class and dependency edges.","render_graph=(passes,resources,barriers)",Specified bridge from query results to raster/compute presentation.,Specified; not executed
M293,GPU and rendering,GPU-driven draw-list contract,Visible instances may be compacted into indirect draw or mesh-dispatch commands.,draws=compact(visible and lod_selected),Production target; CPU reference emits ordinary SVG triangles.,Specified; not executed
M294,GPU and rendering,GPU event proposal buffer,"GPU kernels may append bounded event proposals with residual, status and confidence.","proposal=(time,entity,guard,error,confidence,source)",Gameplay state is not committed by an unchecked shader write.,Specified + runtime schema
M295,GPU and rendering,Deterministic authoritative commit boundary,"Verified proposals are ordered by time, priority, source and proposal ID before state patches.","sort_key=(event_time,-priority,source,proposal_id)",Separates parallel detection from authoritative lineage change.,Implemented + tested
M296,GPU and rendering,Vulkan backend profile,"Native target declares Vulkan 1.4-compatible resource, shader and timestamp contracts.",backend=vulkan; physical_gpu_claim requires named device metrics,No physical-GPU benchmark is claimed by this package.,Specified only
M297,GPU and rendering,WebGPU/WGSL portability profile,Portable target expresses compute and presentation kernels in WGSL-compatible layouts.,backend=webgpu; shader_language=WGSL,Prototype shader supplied; browser/device execution remains target-specific.,Prototype supplied
M298,GPU and rendering,CPU SVG reference renderer,"A deterministic camera, painter-order triangle pass and preview shader emit inspectable SVG.",project(p)=focal*(camera_space.xy/camera_space.z),"Regression oracle and demonstrator, not a production renderer.",Implemented + tested
M299,Materials and color,Typed metallic-roughness PBR material,"Base color, metallic, roughness, emissive and alpha mode have bounded ranges.","material=(baseColor,metallic,roughness,emissive,alphaMode)",Maps directly to common runtime asset conventions.,Implemented + tested
M300,Materials and color,Procedural pattern coordinates,"Material graphs may read phase, curvature, arc length, sheet or pattern coordinates.",presentation_value=graph(pattern_context),Allows 2.0 patterns to drive masks and appearance.,Implemented + tested
M301,Materials and color,Acyclic material graph,"Small typed nodes evaluate constants, patterns, add, multiply, mix and clamp operations.",value(node)=op(value(inputs)),Reference graph with explicit cycle rejection.,Implemented + tested
M302,Materials and color,Material authority boundary,Material evaluation is presentation-only and cannot mutate authoritative substrate state.,material_output -> pixels; state change -> guard/event only,Preserves the core reading rule.,Specified + enforced by API shape
M303,Materials and color,Light and shadow contract,"Lights declare kind, direction/color/intensity and shadow intent.","light=(kind,pose,color,intensity,casts_shadow)",Reference renderer implements one directional preview light; production shadows remain downstream.,Partially implemented
M304,Materials and color,HDR exposure and tone mapping,Scene-linear color is exposed and mapped through declared preview operators.,c_exposed=2^EV*c; c_out=tone_map(c_exposed),Makes output transforms reproducible.,Implemented + tested
M305,Materials and color,OCIO and ACES metadata target,Color-pipeline records may name an OCIO configuration and ACES profile/view.,"color_contract=(working_space,display,view,config,profile)",Interchange target only; this package does not bundle an OCIO runtime.,Metadata specified
M306,Materials and color,Transparency policy,"Opaque, mask and blend modes are explicit material states.","alpha_mode in {OPAQUE,MASK,BLEND}",Prevents implicit ordering and collision semantics.,Implemented + tested
M307,Game runtime and animation,Fixed simulation clock separation,Authoritative simulation advances in fixed dt while input and presentation may use separate clocks.,t_tick=n*dt_fixed,Makes rollback and event ordering explicit.,Implemented + tested
M308,Game runtime and animation,ECS component mapping,"Scene, support, relation, motion, interaction and lineage data map to explicit engine components.","entity -> {Transform,Asset,Support,Compatibility,Lineage,...}",Adapter contract; no engine-specific fork is authoritative.,Specified
M309,Game runtime and animation,Skeletal hierarchy contract,Joints form an acyclic transform hierarchy with inverse-bind and pose data.,p_skinned=sum_i w_i T_joint_i B_i^-1 p_rest,Production animation extension; no skinned character is bundled.,Specified
M310,Game runtime and animation,Animation state-machine contract,"Clips, blend states and guarded transitions carry versioned event labels.","state_next=transition(state,guard,event)",Animation events use the same event authority boundary.,Specified
M311,Game runtime and animation,IK and maintained-constraint bridge,The 2.0 damped least-squares IK operator is connected to explicit joint-limit/constraint status.,delta_q=J^T(JJ^T+lambda^2 I)^-1 e,2.0 reference implementation retained; 3D production constraints remain application-specific.,Inherited implementation + specified bridge
M312,Game runtime and animation,Conventional rigid-body fallback,Unsupported contacts and dense constraints may be delegated to a conventional physics solver.,unsupported_relation -> physics_adapter,Prevents the event substrate from pretending to replace general contact mechanics.,Specified boundary
M313,Game runtime and animation,Impact versus persistent constraint split,"Crossing/impact produces an event; resting contact, joint and grasp use maintained constraints.",impact -> event; contact_interval -> constraint_mode,Avoids infinite coincident-event emission.,Specified boundary
M314,Game runtime and animation,Character sweep-controller contract,"Capsule/shape sweeps return travel fraction, normal, support and compatibility status.",hit=min valid TOI along displacement,Target interface for playable movement.,Specified; not implemented
M315,Two-hand interaction,Typed hand state,"Each hand records side, wrist pose, joints, radii, confidence, tracking state, source and timestamp.","HandState=(side,wrist,joints,radii,confidence,status,time)","Input adapter boundary for XR, mocap or desktop emulation.",Implemented + tested
M316,Two-hand interaction,Pinch hysteresis,Separate enter and exit distances prevent noisy pinch chatter.,"enter if d<=d_enter; exit if d>=d_exit, d_exit>d_enter",Produces guarded interaction state with reason codes.,Implemented + tested
M317,Two-hand interaction,Bimanual midpoint frame,The pair midpoint is the translation anchor for cooperative transforms.,m=(p_left+p_right)/2,Stable pair frame independent of world origin.,Implemented + tested
M318,Two-hand interaction,Bimanual scale,Object scale follows current hand separation relative to anchor separation within clamps.,"s=clamp(||r-l||/||r0-l0||,s_min,s_max)",Supports direct two-hand sizing with a declared degeneracy policy.,Implemented + tested
M319,Two-hand interaction,Bimanual twist and alignment,Shortest-axis alignment combines with averaged wrist twist around the current pair axis.,q=q_twist*q_align; q_align maps a0 to a1,Provides rotation without Euler-angle discontinuities.,Implemented + tested
M320,Two-hand interaction,Cooperative grab ownership,One- and two-hand ownership transitions are an explicit state machine.,none -> one -> two -> one -> none,"Supports join, release and simultaneous-grab events.",Implemented + tested
M321,Two-hand interaction,Handover lineage event,"When one hand releases a two-hand object, ownership persists under the remaining hand with a lineage label.","owners={L,R}->{R} emits handover",Preserves interaction ancestry instead of silently changing controller.,Implemented + tested
M322,Two-hand interaction,Tracking confidence and desktop fallback,Low-confidence/untracked poses reject transforms; cursor input can emulate the same schema.,accepted=tracked and confidence>=floor,Makes XR optional and keeps tests reproducible.,Implemented + tested
M323,"Networking, editor and validation",Authoritative event sequence,Every committed event receives a monotonic sequence number and pre/post state hashes.,sequence_next=sequence+1,Replication and editor timelines use the same ordering.,Implemented + tested
M324,"Networking, editor and validation",Checkpoint and rollback,Runtime snapshots are hashed and later events can be replayed from the nearest checkpoint.,state_k=checkpoint_j + replay(events j+1..k),Reference rollback path for deterministic profiles.,Implemented + tested
M325,"Networking, editor and validation",Deterministic canonical state hash,"Canonical JSON over schema, scene and runtime counters produces a comparison digest.",h_state=SHA256(canonical(state)),Divergence detector; digest is not a replacement for full state.,Implemented + tested
M326,"Networking, editor and validation",Schema and asset negotiation,"Peers exchange schema version, mechanism support and asset hashes before authoritative replay.",compatible_peer=schemas_match and required_assets_available,Production networking contract.,Specified
M327,"Networking, editor and validation",Editor diagnostics and inspector records,"Scene audits, event timelines, culling reasons, lineage edges and runtime metrics are machine-readable.","diagnostic=(severity,code,subject,message,metrics)",Makes hidden support/guard/lineage state inspectable.,Implemented + tested
M328,"Networking, editor and validation",Replay divergence detection,Replay stops at the first sequence whose expected and actual state hashes differ.,divergence=min{k: h_expected(k)!=h_actual(k)},Prevents silent cross-platform desynchronization.,Implemented + tested
M329,"Networking, editor and validation",Physical-GPU benchmark promotion gate,"GPU performance claims require a named physical device, driver, workload, precision and equal-error baseline.",promote_claim iff physical_gpu and metrics_complete and oracle_match,Retains the 1.1/2.0 evidence boundary.,Acceptance gate; not claimed
